objectid,año,tmean_weighted,cld_weighted,frs_weighted,vap_weighted,wet_weighted,total_bin_1_tmean,total_bin_2_tmean,total_bin_3_tmean,total_bin_4_tmean,total_bin_5_tmean,total_eq_tmean_bin_1,total_eq_tmean_bin_2,total_eq_tmean_bin_3,total_eq_tmean_bin_4,total_eq_tmean_bin_5,total_sd_tmean_bin_1,total_sd_tmean_bin_2,total_sd_tmean_bin_3,total_sd_tmean_bin_4,total_sd_tmean_bin_5,gdp_year,pop_est,gdp_md_est,population,income_grp,region_un,region_wb,precipitation_weighted,PI0,PI1,PI2,country_standard,pm25,GDP,GDPpc,deathr,año_by_country,lnGDPpc,lnpm25,hist_weighted,ssp126_weighted,ssp245_weighted,ssp585_weighted,histbin1,histbin2,histbin3,histbin4,histbin5,ssp126bin1,ssp126bin2,ssp126bin3,ssp126bin4,ssp126bin5,ssp245bin1,ssp245bin2,ssp245bin3,ssp245bin4,ssp245bin5,ssp585bin1,ssp585bin2,ssp585bin3,ssp585bin4,ssp585bin5,Dd_ssp126,Dd_ssp245,Dd_ssp585,D1_ssp126,D1_ssp245,D1_ssp585,D2_ssp126,D2_ssp245,D2_ssp585,D3_ssp126,D3_ssp245,D3_ssp585,D4_ssp126,D4_ssp245,D4_ssp585,D5_ssp126,D5_ssp245,D5_ssp585
1,2018,26.582973,65.387268,.000078637968,27.827873,12.506821,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2379.309764862061,17.92,19.690001,16.07,Indonesia,21,999178586309.0206,3741.305266820489,7.496,2018,8.22719,3.0445225,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2013,26.701952,65.578697,.00014427482,28.615297,13.56065,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435043,4. Lower middle income,Asia,East Asia & Pacific,2642.382446289063,16.780001,17.73,15.75,Indonesia,20.200001,781691320690.6993,3086.323116952238,7.457,2013,8.0347357,3.0056827,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2019,26.729559,64.62796,.000074624528,27.748465,10.913918,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435043,4. Lower middle income,Asia,East Asia & Pacific,2099.592323303223,18.18,20.120001,16.15,Indonesia,25,1049330233997.452,3892.421661873689,7.539,2019,8.2667866,3.2188759,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2020,26.820818,65.206253,.000077702978,28.038673,14.062808,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2889.071784973145,18.440001,20.57,16.24,Indonesia,19.700001,1027656193885.376,3780.121634415854,8.964,2020,8.2375116,2.9806187,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2004,26.427916,65.017418,.00011416992,28.038841,12.476196,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2419.318504333496,15.47,15.01,15.81,Indonesia,21.200001,470829486223.7216,2083.882508978697,7.995,2004,7.6419878,3.0540013,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2015,26.645731,65.019775,.000088453598,27.95224,11.01846,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435043,4. Lower middle income,Asia,East Asia & Pacific,2086.58411026001,17.200001,18.450001,15.86,Indonesia,25.799999,860854232686.2139,3322.581678954442,7.46,2015,8.1084976,3.2503746,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2011,26.481213,65.406433,.00010543814,28.297169,12.481123,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2380.922580718994,16.43,17.08,15.68,Indonesia,23.4,698422460479.1974,2826.480440723476,7.456,2011,7.9467874,3.1527359,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2016,26.769075,65.378967,.000090604204,28.253559,14.457921,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2966.968780517578,17.43,18.85,15.92,Indonesia,22,904181621780.3884,3453.049430305106,7.529,2016,8.1470127,3.0910425,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2021,26.54073,65.239761,.000094842879,27.376291,14.065769,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2905.19149017334,18.719999,21.040001,16.33,Indonesia,19.799999,1065709127396.862,3892.955999905993,10.065,2021,8.2669239,2.985682,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2012,26.607641,64.826736,.000087785702,28.426859,12.287508,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,2016,260580739,3028000,193312617.6435044,4. Lower middle income,Asia,East Asia & Pacific,2390.072643280029,16.6,17.4,15.71,Indonesia,22.6,740537688618.4141,2959.514478166795,7.494,2012,7.9927807,3.11795,25.978966,26.896196,27.093004,27.485344,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
